Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
cotton,277.1,drip,4.04,2.48,27.45,peaty,zaid,41257.11
peas,165.54,sprinkler,6.35,3.04,24.54,silty,zaid,53831.46
wheat,23.52,sprinkler,5.66,3.11,1.28,sandy,rabi,46112.68
tomato,133.69,sprinkler,5.47,4.1,13.42,silty,zaid,69191.21
wheat,182.36,flood,6.28,2.63,26.79,sandy,rabi,42921.79
cotton,270.09,sprinkler,5.98,1.24,19.59,loamy,kharif,39480.46
barley,220.49,flood,4.51,3.55,11.59,peaty,kharif,63274.35
tomato,174.74,rain-fed,8.5,3.23,23.16,loamy,rabi,45090.84
barley,472.92,sprinkler,3.01,1.31,67.03,clay,kharif,51910.93
barley,18.29,drip,4.83,1.22,1.67,sandy,zaid,64029.56
wheat,89.1,flood,5.68,3.33,9.73,silty,kharif,31725.58
sugarcane,52.83,rain-fed,10.53,2.48,5.38,sandy,kharif,75926.07
potato,138.1,rain-fed,7.79,3.73,17.78,sandy,rabi,72411.83
peas,177.08,sprinkler,5.09,2.42,19.99,silty,kharif,38744.38
tomato,105.32,manual,9.77,3.12,15.09,loamy,rabi,46002.26
rice,403.6,rain-fed,8.19,3.01,34.77,loamy,zaid,101764.95
cotton,133.72,sprinkler,4.0,3.75,15.2,loamy,zaid,69732.55
onion,224.05,drip,8.21,4.03,22.06,peaty,kharif,55551.82
cotton,368.53,drip,3.69,1.18,40.87,silty,zaid,31284.7
onion,127.56,sprinkler,5.12,4.6,10.11,sandy,kharif,46436.93
wheat,392.87,drip,3.19,3.85,36.27,loamy,kharif,32701.35
potato,180.24,sprinkler,8.19,6.81,14.45,sandy,rabi,70301.66
tomato,173.68,drip,5.51,5.24,24.95,sandy,rabi,78823.12
maize,118.01,flood,4.81,3.45,12.31,sandy,kharif,45495.53
rice,329.67,sprinkler,9.65,4.36,36.58,sandy,kharif,76780.77
maize,179.51,rain-fed,5.88,1.66,12.28,peaty,zaid,50730.62
cotton,474.26,sprinkler,2.08,1.38,28.86,sandy,kharif,44632.67
potato,32.52,sprinkler,8.72,5.8,2.66,sandy,rabi,72353.07
wheat,135.84,rain-fed,3.02,3.31,12.26,clay,zaid,51670.22
maize,124.0,rain-fed,5.59,3.71,15.94,clay,kharif,47525.21
barley,297.71,flood,6.86,3.37,22.94,peaty,kharif,63879.78
rice,218.87,sprinkler,11.49,3.07,17.25,silty,zaid,111933.12
barley,281.86,rain-fed,2.28,3.77,22.38,sandy,kharif,30269.89
rice,455.03,manual,13.03,3.5,47.89,clay,rabi,76333.45
tomato,26.97,drip,5.16,6.16,2.71,silty,rabi,70607.87
peas,158.34,rain-fed,2.42,3.05,12.99,peaty,rabi,48423.29
potato,102.94,manual,5.99,7.52,11.34,silty,zaid,64370.64
cotton,140.69,manual,3.92,3.82,16.4,loamy,rabi,48285.27
cotton,342.77,flood,4.44,3.31,34.3,sandy,rabi,47763.84
onion,108.53,rain-fed,9.34,7.14,7.17,loamy,zaid,68991.11
rice,158.7,manual,14.45,4.91,16.18,clay,kharif,77368.37
wheat,372.38,manual,2.54,1.35,53.58,peaty,kharif,33008.94
rice,212.32,rain-fed,12.71,3.58,30.32,peaty,kharif,87408.91
barley,179.22,manual,5.61,3.99,15.85,sandy,rabi,60924.8
onion,473.04,flood,5.9,6.59,63.36,peaty,kharif,48398.92
wheat,274.34,drip,4.09,2.07,34.5,clay,rabi,61739.09
peas,453.91,flood,3.41,2.63,37.23,silty,rabi,46749.52
onion,294.15,drip,8.83,6.22,42.57,peaty,zaid,43123.14
cotton,338.0,rain-fed,4.16,1.73,42.45,clay,kharif,43420.72
maize,405.43,drip,6.39,3.02,35.84,sandy,rabi,35777.26
onion,150.07,flood,9.84,7.38,18.91,loamy,kharif,72620.12
onion,400.72,sprinkler,7.21,5.39,44.33,clay,kharif,77301.4
peas,95.08,manual,3.12,1.29,13.08,peaty,kharif,66394.94
peas,46.16,sprinkler,4.95,1.01,5.27,clay,kharif,44539.49
wheat,308.56,manual,2.59,2.27,35.73,clay,kharif,56543.64
sugarcane,333.07,rain-fed,12.18,3.33,22.56,clay,rabi,87642.01
maize,260.82,sprinkler,2.76,3.1,28.75,silty,zaid,53881.51
cotton,455.68,drip,4.9,2.5,59.09,loamy,zaid,37818.1
peas,83.84,flood,2.13,3.17,6.78,clay,zaid,33950.97
potato,142.8,flood,8.04,5.57,16.83,silty,zaid,56641.52
rice,460.86,drip,13.16,3.63,45.77,sandy,zaid,89483.01
sugarcane,355.99,drip,11.58,3.63,51.0,sandy,zaid,73818.36
rice,417.79,sprinkler,9.28,3.07,61.41,clay,zaid,79109.18
maize,362.38,flood,4.25,1.91,49.23,peaty,kharif,39649.79
tomato,21.59,drip,9.62,3.34,2.23,loamy,rabi,41569.37
potato,83.3,rain-fed,6.36,7.67,10.91,clay,rabi,46636.57
barley,265.05,drip,4.96,2.21,36.07,peaty,zaid,64367.63
barley,274.88,manual,2.07,3.89,22.44,loamy,zaid,34407.34
sugarcane,292.48,drip,14.13,3.84,39.64,clay,kharif,96550.55
barley,211.74,drip,2.11,2.31,29.58,loamy,rabi,41059.45
wheat,311.76,flood,3.74,3.07,25.63,loamy,kharif,43992.91
onion,219.01,sprinkler,7.45,6.9,23.56,loamy,rabi,44053.36
barley,303.55,rain-fed,3.58,3.56,19.78,peaty,rabi,40233.48
onion,156.98,flood,5.9,6.2,17.07,sandy,zaid,43966.11
cotton,131.68,drip,3.7,2.61,18.22,sandy,zaid,51201.24
peas,158.85,drip,3.3,2.35,20.2,peaty,kharif,32500.76
peas,379.18,drip,5.82,3.97,21.7,clay,kharif,48510.5
maize,467.12,sprinkler,3.84,2.29,40.73,silty,zaid,50255.56
rice,53.6,flood,10.4,4.13,6.65,loamy,kharif,79631.62
sugarcane,438.11,sprinkler,10.14,4.34,45.39,clay,kharif,79677.36
peas,338.89,rain-fed,6.35,2.63,31.89,clay,kharif,42172.18
barley,88.49,rain-fed,3.28,1.37,11.31,peaty,rabi,46990.32
rice,219.21,sprinkler,12.69,1.13,19.3,peaty,kharif,117471.95
peas,484.76,sprinkler,6.43,2.4,39.29,clay,rabi,49329.14
sugarcane,48.34,drip,12.88,4.23,5.73,silty,kharif,118798.96
onion,25.76,flood,5.2,4.34,1.61,silty,rabi,63931.75
maize,438.81,rain-fed,2.75,2.07,60.3,silty,kharif,47889.57
potato,4.48,sprinkler,7.91,6.78,0.38,sandy,kharif,73998.63
wheat,338.57,rain-fed,6.57,3.2,48.94,clay,kharif,39214.0
maize,373.59,drip,4.14,3.0,46.96,peaty,kharif,54700.63
sugarcane,38.56,manual,12.33,2.4,4.44,loamy,zaid,77458.72
potato,258.08,flood,9.93,7.88,30.23,loamy,zaid,54112.27
maize,357.74,manual,5.36,1.99,22.84,peaty,zaid,36912.3
sugarcane,486.28,drip,10.66,4.49,27.45,loamy,rabi,102524.14
peas,132.59,sprinkler,5.08,1.92,9.79,loamy,kharif,47999.26
sugarcane,157.68,rain-fed,8.05,4.68,21.26,sandy,rabi,92710.52
wheat,333.01,flood,2.68,1.97,31.73,sandy,kharif,47036.78
wheat,191.33,flood,3.01,3.56,26.49,clay,rabi,62601.47
potato,293.32,sprinkler,8.16,5.7,19.42,peaty,zaid,74093.83
barley,165.75,drip,5.95,1.1,22.4,peaty,zaid,50855.21
maize,391.38,flood,5.86,2.98,55.47,loamy,rabi,65571.67
rice,296.68,drip,9.56,4.77,41.59,peaty,rabi,106250.11
sugarcane,334.35,flood,12.25,3.39,42.19,silty,kharif,111985.6
onion,456.23,flood,8.63,7.24,34.23,silty,kharif,46917.89
peas,268.81,flood,3.56,2.28,38.06,silty,rabi,46937.23
tomato,178.55,sprinkler,7.79,6.38,9.54,peaty,kharif,63386.43
potato,261.65,sprinkler,5.34,7.59,20.35,sandy,kharif,47822.61
potato,207.21,manual,8.0,5.15,13.52,sandy,rabi,68922.84
maize,236.2,rain-fed,4.97,1.86,26.67,sandy,kharif,58051.03
barley,255.01,sprinkler,2.39,3.86,36.52,clay,kharif,48374.16
potato,331.75,sprinkler,7.91,7.3,33.89,loamy,kharif,47593.28
peas,209.66,rain-fed,5.82,1.24,29.83,silty,zaid,37972.82
rice,496.31,sprinkler,11.7,3.19,32.42,sandy,kharif,103089.16
rice,29.84,manual,8.23,3.91,3.16,silty,rabi,109453.33
maize,437.67,rain-fed,6.87,1.47,33.07,sandy,rabi,45260.55
barley,93.12,sprinkler,4.05,1.69,13.45,sandy,kharif,66791.16
potato,139.41,flood,9.58,3.99,19.38,loamy,zaid,59226.25
potato,327.7,rain-fed,9.51,7.02,31.37,silty,kharif,53966.47
wheat,103.21,sprinkler,4.94,1.53,7.99,silty,rabi,44235.15
barley,161.33,drip,4.55,2.79,21.54,clay,zaid,54412.5
potato,271.82,sprinkler,5.46,5.14,20.14,silty,zaid,41863.92
maize,220.45,rain-fed,5.5,3.96,19.51,sandy,rabi,68586.03
tomato,195.53,flood,8.28,6.98,24.49,peaty,zaid,48688.39
peas,359.15,manual,3.03,2.99,38.69,silty,zaid,68257.32
wheat,328.82,flood,3.55,1.41,38.21,peaty,kharif,59267.86
sugarcane,335.86,sprinkler,11.18,4.84,27.95,loamy,zaid,82294.63
sugarcane,422.72,sprinkler,12.89,1.73,33.51,peaty,rabi,119556.34
wheat,64.76,drip,3.04,3.55,9.05,silty,zaid,39736.95
wheat,177.41,sprinkler,5.25,2.8,14.31,silty,zaid,58867.19
potato,160.44,sprinkler,8.12,5.48,14.03,sandy,rabi,41213.95
sugarcane,229.88,flood,9.6,3.7,26.94,peaty,kharif,107704.68
onion,36.48,drip,5.56,6.6,3.63,sandy,rabi,70221.35
peas,16.89,sprinkler,5.11,3.58,2.37,peaty,rabi,62216.39
wheat,482.05,rain-fed,2.37,4.0,27.03,clay,zaid,36629.93
barley,480.58,flood,4.61,3.59,52.07,silty,kharif,31392.58
maize,345.11,rain-fed,2.06,1.01,43.21,silty,rabi,36432.58
barley,246.67,manual,3.57,3.24,14.12,silty,zaid,52194.38
rice,122.61,flood,10.76,2.35,14.02,clay,kharif,109491.59
barley,439.97,sprinkler,4.66,3.72,34.67,silty,rabi,47046.15
potato,70.32,rain-fed,8.82,5.6,8.07,sandy,rabi,79516.17
barley,457.36,drip,2.09,1.62,55.89,peaty,zaid,39182.85
sugarcane,74.07,rain-fed,12.25,1.77,5.49,sandy,zaid,109687.56
peas,107.02,sprinkler,2.97,3.86,13.92,silty,zaid,61573.94
onion,196.52,sprinkler,5.41,5.52,20.23,sandy,rabi,48511.67
barley,155.88,manual,4.02,2.15,14.46,silty,kharif,58054.73
maize,78.77,drip,2.74,3.96,4.74,silty,kharif,45386.71
cotton,412.53,manual,5.68,2.25,35.9,silty,rabi,66303.95
sugarcane,41.14,rain-fed,10.72,3.83,3.73,loamy,zaid,104377.04
tomato,46.74,flood,6.01,3.27,3.52,peaty,rabi,65207.75
rice,125.94,sprinkler,9.65,1.22,10.4,loamy,rabi,90767.68
peas,238.47,drip,4.23,2.77,24.05,silty,kharif,59263.83
wheat,482.21,manual,2.05,3.11,42.2,peaty,kharif,45321.23
maize,308.85,drip,2.84,1.39,20.05,clay,zaid,32524.66
sugarcane,30.19,flood,13.46,3.45,3.69,sandy,rabi,109571.37
maize,59.02,sprinkler,4.67,2.23,4.66,clay,rabi,46888.04
onion,53.99,rain-fed,8.95,5.09,5.64,loamy,kharif,67041.94
tomato,212.08,sprinkler,9.53,5.95,16.12,loamy,kharif,58969.01
onion,405.96,manual,8.43,5.55,47.54,peaty,rabi,57358.31
potato,261.06,flood,5.53,3.61,26.21,silty,rabi,40398.63
peas,358.45,manual,6.44,2.6,23.67,sandy,rabi,35623.75
cotton,70.58,manual,5.35,1.64,8.79,loamy,zaid,51141.64
onion,30.01,drip,8.17,5.4,2.92,peaty,kharif,78333.88
rice,490.87,drip,8.61,4.99,56.04,loamy,kharif,73931.89
maize,370.71,manual,2.44,2.12,26.61,silty,zaid,49782.72
maize,356.1,flood,4.8,2.44,41.2,loamy,kharif,44092.48
sugarcane,59.97,sprinkler,13.57,4.18,3.34,sandy,rabi,100963.27
wheat,492.96,flood,5.67,2.79,32.0,clay,zaid,38921.27
cotton,337.16,sprinkler,4.14,1.88,32.63,sandy,kharif,57464.48
barley,489.22,flood,2.11,2.82,65.74,clay,rabi,35413.3
barley,333.31,rain-fed,3.38,2.69,34.97,loamy,zaid,48406.97
tomato,425.82,flood,7.36,8.0,42.89,loamy,rabi,65111.26
sugarcane,236.06,sprinkler,13.05,1.23,13.22,clay,rabi,82033.48
sugarcane,426.26,manual,11.18,3.78,26.15,silty,rabi,93462.83
maize,108.61,manual,3.03,1.61,7.49,clay,zaid,67493.44
rice,305.98,manual,10.99,3.76,25.43,silty,rabi,93029.84
maize,164.38,drip,2.06,3.11,22.09,peaty,zaid,41335.93
sugarcane,109.57,manual,8.22,4.33,13.98,silty,rabi,117438.41
onion,340.09,flood,7.92,3.41,45.73,sandy,kharif,41282.24
maize,476.33,drip,3.13,1.06,34.28,sandy,kharif,46837.3
wheat,285.68,rain-fed,2.77,1.67,18.01,clay,zaid,62173.97
wheat,459.58,rain-fed,6.6,2.49,44.57,loamy,rabi,40803.8
sugarcane,121.79,manual,14.46,1.86,6.16,peaty,kharif,85393.57
sugarcane,462.98,rain-fed,9.06,1.56,41.22,silty,kharif,77094.89
peas,212.57,sprinkler,6.51,2.73,23.1,clay,zaid,58759.25
onion,389.72,sprinkler,7.23,7.5,21.65,peaty,rabi,41603.22
maize,298.16,drip,4.44,3.98,21.9,peaty,rabi,61386.33
barley,342.24,flood,2.83,2.49,34.41,loamy,zaid,51531.94
onion,114.18,drip,9.73,5.6,8.59,silty,kharif,42441.99
cotton,405.41,rain-fed,5.93,2.3,44.29,clay,kharif,46123.79
maize,21.3,sprinkler,5.89,2.29,1.18,loamy,kharif,43566.42
peas,272.21,flood,2.95,3.22,25.94,sandy,rabi,43588.66
peas,384.27,rain-fed,4.45,1.18,21.76,silty,zaid,43205.58
maize,415.09,flood,5.48,1.72,28.34,peaty,kharif,50271.71
peas,243.3,manual,3.94,2.79,28.69,silty,kharif,56134.43
cotton,292.98,sprinkler,2.51,1.2,16.39,peaty,zaid,32974.95
sugarcane,492.27,sprinkler,13.14,2.57,25.61,silty,zaid,73576.69
sugarcane,188.57,manual,12.73,4.23,18.32,loamy,rabi,101528.99
potato,104.15,drip,8.63,6.72,12.89,peaty,kharif,70368.16
onion,117.52,drip,8.0,7.61,12.62,loamy,rabi,68861.03
peas,209.97,drip,4.29,2.57,15.13,sandy,rabi,30569.15
tomato,402.79,sprinkler,8.61,6.41,39.64,loamy,zaid,54054.29
barley,17.15,sprinkler,3.1,3.94,2.41,sandy,zaid,52805.9
barley,136.57,drip,5.14,3.92,8.77,clay,rabi,53922.04
maize,240.4,flood,3.79,3.19,26.15,sandy,rabi,39945.7
wheat,317.77,flood,5.88,2.16,37.49,loamy,kharif,68260.03
tomato,150.21,flood,9.44,4.19,17.63,loamy,kharif,59538.94
wheat,51.16,rain-fed,5.6,1.95,2.62,loamy,rabi,64920.75
rice,29.12,manual,14.07,1.48,1.53,loamy,zaid,99373.32
wheat,236.67,flood,2.07,3.13,12.63,clay,rabi,34232.81
tomato,351.24,flood,8.69,3.62,50.14,clay,kharif,49726.62
rice,285.42,rain-fed,12.66,2.89,15.58,clay,kharif,72120.67
peas,158.09,flood,5.82,3.12,9.37,peaty,kharif,67853.63
potato,232.96,manual,6.66,6.24,18.56,sandy,zaid,49495.89
onion,249.26,manual,7.17,4.98,28.53,clay,zaid,47868.96
maize,164.2,rain-fed,4.69,1.11,16.34,peaty,kharif,30720.98
sugarcane,93.76,rain-fed,14.22,4.48,7.77,clay,zaid,89929.36
maize,41.56,flood,5.49,1.62,4.02,clay,zaid,52744.34
peas,324.9,rain-fed,3.23,1.16,36.54,loamy,rabi,68717.32
rice,55.11,rain-fed,14.35,1.14,4.75,peaty,zaid,72669.23
peas,460.74,rain-fed,5.18,2.07,56.88,sandy,zaid,43580.86
potato,217.71,rain-fed,9.65,4.87,29.48,clay,kharif,50691.31
rice,307.28,drip,14.46,4.72,35.52,sandy,rabi,71614.82
maize,263.0,manual,3.59,2.91,22.54,loamy,kharif,44732.25
peas,148.31,sprinkler,5.12,3.42,19.77,peaty,rabi,43824.23
wheat,89.04,sprinkler,4.73,1.29,7.3,sandy,zaid,35931.42
sugarcane,292.45,manual,10.0,1.41,19.85,loamy,kharif,95639.82
tomato,485.16,manual,5.75,7.07,47.98,clay,kharif,61537.37
potato,216.38,drip,9.87,7.07,14.77,sandy,rabi,48739.11
tomato,492.95,flood,7.01,4.36,67.02,peaty,kharif,76378.23
rice,300.35,drip,13.41,2.13,24.96,sandy,kharif,70679.91
maize,161.4,sprinkler,6.74,1.98,11.76,sandy,rabi,36705.0
cotton,321.28,drip,4.21,1.61,16.47,peaty,kharif,46451.32
sugarcane,18.0,flood,12.25,4.24,2.11,sandy,zaid,82484.6
peas,324.73,rain-fed,5.3,1.26,48.12,clay,rabi,32629.31
cotton,10.61,flood,5.47,1.25,1.47,silty,zaid,55439.07
cotton,466.64,rain-fed,6.86,3.54,26.89,peaty,kharif,38741.9
rice,387.33,sprinkler,10.71,4.55,25.73,sandy,rabi,108834.13
onion,283.64,drip,8.23,4.75,17.08,silty,rabi,43686.43
tomato,331.09,manual,6.36,6.77,30.2,clay,kharif,70855.49
wheat,259.2,rain-fed,5.51,1.16,36.99,sandy,zaid,60200.74
cotton,2.84,flood,3.03,3.99,0.34,sandy,kharif,65130.09
cotton,303.32,sprinkler,2.35,1.51,40.57,clay,rabi,33155.89
onion,328.28,sprinkler,6.43,3.74,44.43,silty,kharif,42118.36
onion,48.99,manual,7.15,7.14,4.29,clay,kharif,48843.66
wheat,115.76,sprinkler,2.68,2.91,15.08,clay,rabi,55360.71
cotton,66.97,rain-fed,4.28,1.47,8.0,sandy,rabi,41927.1
sugarcane,277.6,flood,14.89,4.78,25.8,silty,zaid,94132.71
maize,304.12,flood,4.17,2.43,23.26,clay,kharif,69127.12
cotton,178.4,sprinkler,3.21,2.24,18.01,sandy,rabi,44397.41
maize,47.06,sprinkler,4.75,2.04,6.07,clay,zaid,65570.24
peas,68.61,drip,3.64,2.39,4.5,loamy,zaid,47768.76
rice,388.0,flood,11.39,4.87,23.73,sandy,kharif,102887.7
peas,441.53,flood,5.16,1.52,30.81,silty,rabi,67461.59
barley,157.43,rain-fed,6.25,3.83,19.57,silty,zaid,47435.24
wheat,331.4,sprinkler,3.4,1.77,32.96,loamy,zaid,61636.04
tomato,324.09,manual,9.53,3.04,34.34,peaty,rabi,72716.27
tomato,244.01,drip,5.04,5.24,26.08,sandy,rabi,40632.4
potato,455.86,sprinkler,6.19,6.48,50.77,clay,kharif,71035.72
maize,69.56,rain-fed,4.33,3.0,8.03,clay,rabi,56954.9
sugarcane,158.34,sprinkler,11.91,1.48,11.23,loamy,kharif,112723.34
sugarcane,19.87,manual,8.61,2.35,1.4,clay,zaid,114593.96
tomato,335.17,rain-fed,7.35,3.67,23.98,peaty,kharif,76381.16
tomato,422.28,drip,8.82,4.29,22.21,sandy,kharif,58368.71
sugarcane,453.52,manual,13.19,1.42,43.94,sandy,kharif,88733.25
rice,169.28,manual,9.76,1.64,17.5,loamy,zaid,101572.62
wheat,409.33,rain-fed,4.86,2.41,29.29,sandy,kharif,49950.78
maize,342.43,sprinkler,4.48,1.46,50.52,silty,rabi,49231.3
rice,272.64,sprinkler,13.48,1.39,25.12,loamy,zaid,84412.55
rice,467.88,rain-fed,10.07,3.19,33.75,silty,kharif,72064.43
wheat,162.73,manual,4.84,3.21,21.01,silty,zaid,55055.94
wheat,125.39,manual,6.95,3.26,14.66,silty,kharif,30425.16
cotton,224.4,manual,5.59,2.2,31.38,sandy,rabi,55801.7
barley,439.82,drip,5.98,1.23,57.68,sandy,rabi,32854.99
tomato,89.83,drip,5.15,5.29,10.46,peaty,kharif,53472.8
rice,192.84,sprinkler,10.06,2.39,10.3,peaty,kharif,103357.81
wheat,276.34,drip,5.95,3.02,40.65,sandy,rabi,68682.67
onion,162.14,rain-fed,9.36,4.5,22.58,silty,rabi,61876.23
rice,216.06,manual,14.0,1.28,23.45,sandy,kharif,71740.88
barley,4.8,drip,4.49,2.18,0.38,loamy,rabi,50869.43
sugarcane,394.93,flood,10.66,4.93,34.44,silty,rabi,108128.97
onion,16.7,sprinkler,5.23,6.5,1.88,sandy,rabi,44432.54
tomato,329.69,drip,7.7,7.33,41.47,clay,kharif,78232.89
barley,191.74,rain-fed,3.21,3.16,26.81,sandy,zaid,54641.41
rice,195.9,sprinkler,9.03,1.11,22.04,silty,rabi,82052.97
peas,435.44,rain-fed,4.43,2.11,60.78,silty,zaid,37246.93
peas,226.79,flood,2.28,1.42,26.38,loamy,zaid,49581.13
rice,333.78,sprinkler,8.98,4.85,48.83,clay,zaid,88981.8
tomato,495.04,sprinkler,7.71,7.65,30.02,sandy,kharif,58503.64
onion,421.05,sprinkler,9.59,4.26,27.64,clay,kharif,75878.32
wheat,439.8,flood,5.62,2.35,26.91,loamy,zaid,50845.28
sugarcane,243.85,drip,8.87,2.53,34.21,loamy,kharif,113739.2
peas,219.9,rain-fed,3.21,3.27,29.26,peaty,kharif,35830.68
peas,16.68,sprinkler,4.21,3.79,1.03,peaty,kharif,65697.35
maize,169.3,flood,5.9,2.46,23.56,peaty,zaid,61520.16
sugarcane,315.48,rain-fed,12.9,1.89,25.41,sandy,kharif,91904.09
peas,144.87,rain-fed,4.79,2.5,11.77,peaty,rabi,68073.45
sugarcane,363.61,manual,10.62,4.51,43.09,sandy,kharif,70541.28
maize,434.43,drip,3.76,2.45,40.46,sandy,rabi,63836.72
barley,442.12,sprinkler,2.66,3.93,26.11,silty,kharif,63886.45
wheat,159.59,sprinkler,5.93,1.06,18.16,peaty,rabi,69000.05
rice,454.54,drip,13.17,4.15,45.65,sandy,rabi,93376.09
tomato,348.71,rain-fed,7.84,6.31,35.46,loamy,kharif,46206.76
barley,204.39,flood,2.4,3.69,29.44,silty,rabi,32589.43
potato,144.45,manual,9.2,3.32,9.32,clay,kharif,41625.24
maize,73.9,drip,6.16,2.37,11.08,silty,kharif,36657.99
maize,233.57,manual,6.21,1.68,28.88,peaty,kharif,62844.7
sugarcane,331.79,flood,14.59,3.77,35.93,loamy,zaid,110839.72
potato,343.58,drip,5.42,7.08,33.75,peaty,kharif,48027.91
sugarcane,331.61,flood,12.37,4.54,35.53,clay,kharif,99700.78
peas,341.04,sprinkler,6.31,3.74,40.47,sandy,kharif,47684.26
peas,9.68,drip,6.97,1.04,0.93,loamy,rabi,37845.42
potato,396.19,flood,9.7,5.13,59.08,peaty,zaid,56562.0
onion,440.86,rain-fed,7.07,5.03,44.08,sandy,rabi,41377.53
peas,357.02,drip,2.24,2.93,29.0,loamy,kharif,59153.26
barley,253.9,flood,5.34,1.92,32.63,silty,zaid,62148.18
barley,306.69,flood,5.12,3.55,37.86,peaty,kharif,35919.65
potato,389.6,manual,9.66,6.22,28.55,peaty,kharif,71428.11
potato,414.45,flood,5.74,4.79,37.26,peaty,rabi,65948.74
maize,324.35,manual,2.58,3.02,35.17,clay,rabi,34321.23
cotton,149.47,sprinkler,3.89,1.26,17.81,sandy,zaid,43156.5
