Crop,Season,Soil_Type,Area(ha),Water_Usage(cubic_meters),Irrigation_Type
sugarcane,rabi,sandy,3.27,4102.42,drip
wheat,rabi,red,1.88,1782.22,sprinkler
sugarcane,rabi,black,2.66,4005.74,drip
wheat,kharif,clayey,2.14,2267.29,sprinkler
tomato,rabi,sandy,1.32,633.77,drip
groundnut,rabi,black,1.76,1284.49,drip
tomato,rabi,black,2.14,1183.52,drip
rice,summer,red,3.97,4059.52,surface
groundnut,summer,red,2.88,1912.45,surface
maize,summer,black,0.89,599.89,sprinkler
citrus,kharif,red,4.86,2522.96,drip
sugarcane,summer,black,4.66,5801.36,drip
mango,rabi,black,4.95,1743.98,drip
cotton,kharif,loamy,2.38,2581.45,drip
mango,rabi,black,3.33,1128.17,drip
tomato,rabi,black,2.86,2026.56,drip
wheat,summer,clayey,3.64,2789.76,surface
wheat,summer,loamy,3.83,3305.66,surface
mango,kharif,black,3.88,1480.08,drip
tomato,summer,clayey,1.43,687.64,sprinkler
citrus,summer,sandy,4.46,2240.33,drip
onion,rabi,loamy,1.83,830.28,sprinkler
rice,kharif,sandy,2.9,3190.25,surface
cotton,kharif,clayey,4.43,3635.29,surface
sugarcane,summer,sandy,0.51,718.32,drip
citrus,rabi,sandy,4.76,2471.0,drip
maize,rabi,red,1.83,1748.17,sprinkler
wheat,kharif,clayey,1.3,1390.71,sprinkler
mango,summer,black,4.76,1719.19,drip
citrus,rabi,loamy,1.96,777.54,drip
tomato,rabi,loamy,3.78,2208.04,drip
cotton,kharif,black,1.32,1153.69,surface
cotton,summer,black,4.75,4142.77,drip
maize,rabi,loamy,4.48,4039.17,sprinkler
citrus,kharif,loamy,0.82,331.4,drip
tomato,summer,red,1.12,739.32,drip
wheat,rabi,black,0.59,600.36,surface
wheat,kharif,sandy,1.7,1798.42,surface
citrus,kharif,sandy,2.94,1491.42,drip
rice,kharif,black,3.92,5442.32,surface
cotton,rabi,black,1.2,986.82,surface
maize,kharif,sandy,0.96,705.56,sprinkler
mango,kharif,sandy,4.6,1489.66,drip
tomato,kharif,clayey,3.45,1843.03,sprinkler
tomato,rabi,loamy,4.96,2648.07,drip
maize,kharif,red,2.0,1510.72,surface
rice,summer,loamy,1.3,1579.02,surface
citrus,summer,black,1.18,566.53,drip
maize,rabi,sandy,1.72,1375.59,surface
groundnut,summer,sandy,4.05,3245.18,surface
cotton,rabi,loamy,2.26,2460.09,drip
onion,kharif,red,2.42,1319.73,drip
cotton,rabi,loamy,1.32,1259.29,drip
groundnut,rabi,black,3.62,2446.77,surface
groundnut,summer,loamy,2.22,1584.67,drip
mango,summer,red,4.2,1602.47,drip
citrus,summer,red,3.99,2019.07,drip
sugarcane,kharif,clayey,0.51,916.14,drip
wheat,summer,black,4.81,5057.84,sprinkler
wheat,rabi,loamy,1.83,1412.56,sprinkler
mango,kharif,loamy,4.23,1391.41,drip
cotton,summer,loamy,2.2,1783.19,drip
tomato,kharif,sandy,3.48,1732.01,sprinkler
citrus,kharif,loamy,2.14,800.83,drip
rice,summer,black,1.17,1225.65,surface
cotton,rabi,black,3.75,3665.96,surface
wheat,kharif,loamy,0.77,732.49,sprinkler
citrus,summer,loamy,0.55,280.44,drip
onion,summer,red,1.88,837.47,sprinkler
cotton,kharif,red,2.2,2596.94,surface
sugarcane,summer,sandy,1.49,1952.22,surface
mango,summer,black,2.65,1124.74,drip
tomato,kharif,sandy,4.12,2617.0,sprinkler
sugarcane,kharif,sandy,0.85,1327.63,surface
groundnut,kharif,clayey,1.23,725.47,drip
sugarcane,rabi,loamy,2.98,4717.44,drip
wheat,rabi,sandy,4.89,4515.07,surface
citrus,kharif,sandy,1.92,1017.28,drip
wheat,rabi,black,2.75,2291.33,sprinkler
tomato,kharif,sandy,1.99,1383.37,sprinkler
mango,summer,loamy,0.61,272.9,drip
onion,rabi,loamy,1.18,581.29,drip
rice,kharif,loamy,3.96,4107.72,surface
mango,rabi,loamy,2.03,766.63,drip
tomato,summer,black,1.58,1136.47,drip
citrus,kharif,red,3.33,1497.02,drip
wheat,rabi,red,4.4,4431.05,surface
rice,kharif,black,1.91,2689.94,surface
cotton,rabi,red,2.13,1780.02,drip
cotton,rabi,black,4.9,5415.77,surface
onion,kharif,red,2.7,1276.27,drip
maize,rabi,red,4.63,3154.3,surface
groundnut,rabi,sandy,3.57,2504.94,surface
maize,summer,sandy,3.83,2751.25,sprinkler
mango,kharif,sandy,1.81,625.02,drip
tomato,kharif,black,4.43,2837.84,drip
groundnut,rabi,red,4.55,3140.22,surface
rice,summer,sandy,4.63,6494.94,surface
tomato,rabi,clayey,0.79,444.12,drip
citrus,kharif,black,1.01,446.24,drip
mango,rabi,loamy,3.38,1254.76,drip
wheat,kharif,clayey,4.05,4342.74,sprinkler
sugarcane,kharif,sandy,4.79,7712.87,drip
maize,summer,loamy,0.88,582.7,surface
tomato,rabi,black,4.42,2678.28,drip
maize,kharif,sandy,4.53,3520.4,sprinkler
maize,kharif,clayey,4.74,3764.13,sprinkler
mango,summer,black,2.1,904.81,drip
tomato,summer,red,1.39,908.3,drip
citrus,rabi,clayey,0.56,291.97,drip
cotton,rabi,sandy,4.06,4342.49,surface
maize,rabi,loamy,3.35,2828.92,sprinkler
citrus,kharif,loamy,3.86,1519.98,drip
mango,summer,black,1.47,519.74,drip
sugarcane,rabi,clayey,0.57,990.66,drip
mango,summer,black,3.42,1343.92,drip
tomato,rabi,red,2.42,1727.34,sprinkler
groundnut,kharif,black,2.43,1481.16,drip
citrus,summer,black,2.22,1136.9,drip
tomato,summer,red,4.72,3291.78,sprinkler
rice,kharif,sandy,3.42,4294.85,surface
tomato,rabi,red,4.67,2353.35,drip
onion,summer,clayey,4.33,1915.48,drip
onion,kharif,loamy,4.35,2566.98,sprinkler
groundnut,rabi,black,0.53,352.4,surface
sugarcane,rabi,clayey,1.88,3274.22,surface
tomato,kharif,black,0.65,316.09,drip
groundnut,rabi,loamy,4.82,4039.12,surface
sugarcane,kharif,red,3.4,5770.24,surface
citrus,kharif,black,4.9,1917.22,drip
groundnut,rabi,loamy,0.95,745.11,drip
mango,summer,red,4.03,1833.19,drip
maize,rabi,loamy,0.92,596.35,sprinkler
wheat,kharif,red,3.68,3869.2,surface
rice,kharif,loamy,4.93,6234.19,surface
groundnut,kharif,loamy,1.84,1306.25,drip
sugarcane,rabi,sandy,1.74,3064.11,surface
wheat,kharif,black,4.67,3568.66,surface
cotton,rabi,loamy,0.92,917.88,surface
groundnut,rabi,sandy,2.71,1534.26,drip
rice,summer,sandy,1.45,1684.26,surface
groundnut,kharif,loamy,1.84,1495.95,surface
citrus,kharif,clayey,4.97,2222.11,drip
citrus,kharif,red,3.84,2022.85,drip
sugarcane,summer,sandy,2.83,4688.11,drip
sugarcane,kharif,loamy,0.63,808.38,surface
rice,rabi,clayey,2.67,3784.86,surface
groundnut,rabi,black,2.46,2029.44,surface
sugarcane,kharif,loamy,3.59,6219.28,surface
maize,kharif,red,4.07,3370.06,surface
cotton,summer,black,2.45,2397.23,drip
citrus,rabi,red,0.98,420.37,drip
sugarcane,rabi,sandy,2.52,4368.85,surface
mango,summer,black,1.82,823.13,drip
mango,rabi,sandy,1.02,458.44,drip
tomato,rabi,loamy,0.83,529.27,drip
groundnut,rabi,sandy,0.54,406.47,drip
groundnut,rabi,red,4.08,3311.53,drip
mango,rabi,clayey,3.21,1298.0,drip
rice,summer,red,4.76,6414.41,surface
rice,summer,black,1.93,2149.36,surface
sugarcane,rabi,black,0.71,968.9,drip
rice,rabi,loamy,3.21,3992.48,surface
sugarcane,rabi,sandy,3.4,5826.45,drip
wheat,rabi,loamy,4.29,3710.9,sprinkler
mango,rabi,sandy,0.81,271.53,drip
tomato,rabi,clayey,3.89,2240.96,sprinkler
mango,rabi,red,0.71,261.1,drip
onion,summer,sandy,4.29,2520.55,sprinkler
rice,kharif,sandy,4.21,4321.95,surface
groundnut,kharif,loamy,0.9,686.48,surface
groundnut,summer,sandy,1.67,1302.24,drip
rice,rabi,sandy,1.69,2180.44,surface
tomato,summer,loamy,4.66,2889.33,sprinkler
rice,rabi,loamy,3.89,5392.1,surface
tomato,summer,sandy,2.85,1532.52,sprinkler
onion,rabi,clayey,3.98,1976.23,sprinkler
rice,rabi,sandy,2.09,2844.62,surface
sugarcane,summer,sandy,0.84,1257.28,drip
sugarcane,summer,loamy,2.61,3735.0,drip
onion,rabi,loamy,4.16,2297.65,drip
mango,rabi,black,3.45,1571.99,drip
rice,kharif,clayey,2.24,2636.85,surface
citrus,rabi,loamy,0.81,353.29,drip
maize,kharif,black,4.44,3900.13,sprinkler
sugarcane,rabi,loamy,1.7,2525.77,drip
mango,rabi,clayey,1.03,420.29,drip
groundnut,kharif,loamy,2.29,1558.66,surface
groundnut,rabi,clayey,2.16,1239.32,drip
tomato,kharif,clayey,1.35,705.23,sprinkler
maize,summer,black,0.99,649.4,surface
sugarcane,kharif,sandy,0.74,903.85,drip
maize,kharif,red,0.95,676.85,sprinkler
citrus,rabi,black,0.96,472.42,drip
maize,kharif,loamy,4.04,3035.02,surface
maize,summer,sandy,0.92,736.95,surface
citrus,summer,clayey,4.34,2099.82,drip
cotton,summer,sandy,1.25,1166.08,surface
onion,kharif,black,2.43,982.12,drip
maize,kharif,sandy,3.17,3012.3,sprinkler
citrus,rabi,loamy,2.63,968.19,drip
wheat,kharif,red,2.76,2737.36,sprinkler
rice,rabi,clayey,2.54,3334.29,surface
mango,summer,black,1.64,645.18,drip
groundnut,summer,clayey,4.51,3503.67,surface
citrus,kharif,clayey,3.59,1762.97,drip
wheat,rabi,loamy,3.47,2675.33,surface
onion,kharif,red,3.83,2277.54,drip
groundnut,summer,sandy,1.37,1133.47,drip
rice,summer,red,4.55,5349.2,surface
mango,rabi,clayey,4.5,1721.54,drip
tomato,rabi,loamy,0.68,411.28,sprinkler
groundnut,rabi,black,3.05,2384.82,drip
groundnut,kharif,sandy,2.75,2067.86,surface
onion,summer,clayey,3.31,1763.78,drip
maize,rabi,sandy,4.1,2644.46,surface
wheat,rabi,red,1.06,949.56,surface
wheat,rabi,sandy,0.72,554.1,sprinkler
maize,kharif,clayey,1.14,997.02,sprinkler
tomato,rabi,loamy,0.64,450.5,drip
sugarcane,rabi,black,4.85,6105.58,surface
maize,summer,clayey,1.28,997.71,surface
groundnut,summer,loamy,1.63,1102.8,drip
sugarcane,rabi,sandy,1.84,3231.54,surface
onion,rabi,black,0.93,469.94,drip
groundnut,rabi,clayey,2.42,1640.13,surface
tomato,kharif,red,0.62,411.7,sprinkler
rice,summer,clayey,4.04,5003.76,surface
groundnut,summer,red,4.55,3666.32,drip
wheat,kharif,black,3.52,3120.87,sprinkler
mango,kharif,sandy,0.75,339.59,drip
rice,summer,sandy,4.2,5171.93,surface
groundnut,kharif,red,3.53,2707.59,drip
wheat,summer,loamy,3.03,3236.71,surface
cotton,summer,loamy,1.85,1710.06,drip
wheat,summer,loamy,1.02,734.41,sprinkler
citrus,summer,sandy,1.61,609.63,drip
wheat,rabi,sandy,4.67,3866.63,sprinkler
onion,kharif,red,1.67,872.66,drip
onion,rabi,loamy,3.36,1468.19,drip
sugarcane,summer,red,1.4,2083.59,drip
maize,summer,black,2.15,1565.32,sprinkler
tomato,rabi,black,4.16,2144.73,drip
maize,kharif,red,2.25,1857.99,surface
wheat,kharif,clayey,4.83,4291.2,sprinkler
onion,kharif,loamy,2.11,1205.16,sprinkler
mango,rabi,red,2.26,745.9,drip
cotton,summer,red,2.03,2204.73,surface
cotton,summer,clayey,4.66,3855.14,surface
onion,rabi,red,3.47,1787.77,sprinkler
mango,kharif,clayey,3.15,1300.69,drip
citrus,kharif,sandy,0.63,309.91,drip
sugarcane,summer,sandy,2.75,4420.88,drip
groundnut,summer,loamy,0.97,782.41,drip
tomato,kharif,sandy,3.25,1649.29,sprinkler
rice,rabi,red,3.34,3253.63,surface
cotton,kharif,black,2.2,2630.21,surface
citrus,kharif,clayey,2.71,1306.74,drip
sugarcane,summer,loamy,2.45,3716.94,drip
sugarcane,summer,sandy,3.33,5331.98,drip
sugarcane,kharif,sandy,2.12,3063.01,drip
mango,rabi,loamy,3.57,1689.46,drip
mango,kharif,loamy,3.07,1215.1,drip
groundnut,summer,red,4.34,3404.5,surface
onion,summer,black,4.43,2276.27,sprinkler
cotton,kharif,sandy,2.74,2248.42,surface
mango,kharif,loamy,4.2,1538.81,drip
maize,summer,clayey,0.81,744.29,surface
maize,summer,red,1.59,1281.04,sprinkler
citrus,rabi,red,0.75,364.16,drip
rice,rabi,sandy,0.65,755.48,surface
sugarcane,kharif,loamy,1.42,2399.88,surface
groundnut,kharif,black,0.83,685.11,drip
citrus,rabi,sandy,4.77,2230.77,drip
citrus,summer,black,4.76,1945.37,drip
wheat,kharif,black,2.78,2652.46,surface
tomato,rabi,loamy,0.6,295.97,sprinkler
sugarcane,summer,sandy,2.99,3681.54,surface
tomato,rabi,black,2.97,1507.99,drip
rice,rabi,loamy,2.04,2857.37,surface
sugarcane,kharif,red,0.55,796.31,drip
mango,kharif,loamy,4.16,1382.19,drip
cotton,kharif,clayey,0.7,657.91,surface
sugarcane,kharif,red,2.29,3651.52,surface
rice,rabi,red,1.43,1856.89,surface
groundnut,rabi,clayey,4.74,3689.89,drip
maize,summer,clayey,1.93,1569.58,sprinkler
rice,rabi,black,3.67,4618.69,surface
maize,kharif,loamy,4.29,3460.82,sprinkler
maize,kharif,clayey,3.76,3354.45,sprinkler
wheat,summer,black,3.42,3021.07,surface
rice,rabi,sandy,1.72,2136.85,surface
maize,kharif,clayey,4.35,3318.44,sprinkler
wheat,rabi,black,0.7,555.84,sprinkler
cotton,summer,sandy,3.47,2819.45,surface
groundnut,summer,clayey,4.65,3785.5,drip
citrus,kharif,clayey,3.77,1778.97,drip
tomato,kharif,red,2.25,1469.5,drip
maize,rabi,red,3.74,3313.95,surface
maize,rabi,black,3.86,3612.54,sprinkler
cotton,rabi,clayey,0.88,791.98,drip
mango,rabi,red,2.28,954.15,drip
groundnut,summer,clayey,4.02,3163.23,surface
citrus,kharif,clayey,3.06,1278.4,drip
maize,rabi,black,0.58,372.85,sprinkler
wheat,rabi,red,1.48,1096.81,sprinkler
rice,summer,red,1.91,1892.32,surface
cotton,rabi,clayey,4.41,3752.42,surface
cotton,summer,sandy,1.55,1645.85,drip
cotton,summer,clayey,0.69,749.99,surface
wheat,rabi,sandy,3.55,3651.87,sprinkler
groundnut,summer,loamy,2.07,1204.11,drip
onion,summer,sandy,1.57,730.3,drip
groundnut,kharif,black,4.44,2664.28,surface
groundnut,rabi,black,4.54,3018.74,surface
maize,kharif,clayey,0.7,656.39,sprinkler
citrus,kharif,red,1.45,603.72,drip
mango,kharif,black,4.24,1378.92,drip
cotton,summer,sandy,4.8,5680.56,surface
sugarcane,summer,sandy,4.31,6536.78,surface
wheat,summer,red,2.84,2368.84,sprinkler
sugarcane,kharif,clayey,1.59,2640.33,surface
groundnut,rabi,clayey,3.87,2292.27,drip
sugarcane,summer,black,2.13,3005.84,surface
mango,rabi,black,3.22,1261.71,drip
tomato,summer,loamy,4.67,2516.13,drip
tomato,summer,clayey,4.08,2292.87,drip
rice,rabi,black,2.77,2856.51,surface
onion,kharif,black,0.57,241.77,drip
maize,summer,sandy,1.07,696.47,surface
tomato,summer,loamy,4.95,2533.26,drip
mango,rabi,clayey,1.07,461.71,drip
sugarcane,kharif,clayey,4.54,7895.12,surface
citrus,summer,sandy,0.83,436.36,drip
onion,summer,black,3.83,1865.74,sprinkler
onion,summer,loamy,3.76,1947.35,drip
mango,kharif,sandy,3.17,1202.0,drip
onion,rabi,black,1.3,707.86,sprinkler
maize,kharif,clayey,2.72,1782.83,sprinkler
mango,rabi,clayey,2.23,983.8,drip
cotton,summer,loamy,2.44,2223.58,drip
citrus,kharif,clayey,1.78,678.78,drip
maize,rabi,loamy,4.48,3280.76,surface
maize,kharif,clayey,1.13,797.99,sprinkler
mango,kharif,red,4.56,2159.51,drip
mango,kharif,black,4.25,1377.53,drip
sugarcane,summer,black,3.79,5732.51,surface
onion,kharif,sandy,2.5,1216.13,sprinkler
maize,kharif,clayey,3.79,2566.85,sprinkler
groundnut,summer,loamy,3.77,2456.5,drip
mango,rabi,black,3.34,1342.86,drip
rice,kharif,black,0.95,1233.53,surface
mango,kharif,red,3.48,1602.23,drip
wheat,kharif,loamy,3.14,3246.64,surface
sugarcane,rabi,black,1.18,1992.22,drip
onion,kharif,loamy,3.36,1403.61,sprinkler
mango,kharif,black,0.8,327.39,drip
sugarcane,kharif,black,3.6,5644.9,drip
citrus,summer,clayey,2.68,1281.71,drip
cotton,kharif,clayey,3.51,3496.27,surface
tomato,summer,black,1.83,974.55,sprinkler
maize,rabi,clayey,1.61,1249.29,surface
cotton,rabi,sandy,2.06,1976.03,surface
cotton,rabi,red,2.35,2100.77,surface
maize,summer,loamy,4.5,4007.27,surface
wheat,rabi,clayey,2.35,2376.44,sprinkler
tomato,rabi,sandy,1.71,1119.65,sprinkler
groundnut,rabi,black,2.34,1685.51,drip
cotton,summer,sandy,4.77,4986.18,drip
groundnut,summer,red,0.59,449.71,drip
tomato,summer,clayey,4.61,3061.23,drip
mango,summer,sandy,2.83,1069.56,drip
sugarcane,summer,black,4.37,5845.31,drip
cotton,rabi,black,1.47,1607.2,surface
wheat,kharif,red,0.96,828.73,surface
onion,kharif,clayey,1.86,829.56,drip
sugarcane,rabi,sandy,4.16,5935.13,drip
tomato,summer,clayey,4.38,2182.85,drip
mango,kharif,sandy,3.84,1561.62,drip
cotton,summer,red,4.07,3572.29,drip
citrus,rabi,black,2.81,1023.45,drip
maize,kharif,sandy,1.69,1436.39,surface
onion,rabi,black,0.92,545.91,sprinkler
mango,rabi,clayey,4.58,1856.33,drip
sugarcane,kharif,black,3.77,6676.2,surface
mango,rabi,loamy,3.1,1004.35,drip
sugarcane,rabi,black,3.03,4804.64,surface
groundnut,summer,sandy,0.93,564.87,drip
onion,kharif,loamy,2.31,1311.19,drip
mango,kharif,black,1.63,602.83,drip
groundnut,kharif,clayey,3.6,2619.52,drip
wheat,summer,loamy,3.9,3923.75,sprinkler
mango,rabi,loamy,1.95,845.17,drip
mango,kharif,black,3.65,1387.4,drip
wheat,summer,sandy,1.25,1096.92,surface
rice,rabi,black,1.27,1708.8,surface
onion,summer,red,2.38,956.41,drip
rice,rabi,clayey,2.85,3577.46,surface
groundnut,kharif,clayey,2.85,1759.16,drip
citrus,summer,red,1.63,722.61,drip
groundnut,kharif,red,3.72,2576.78,drip
groundnut,kharif,loamy,2.62,2195.89,surface
wheat,summer,loamy,1.4,1055.3,sprinkler
onion,kharif,sandy,3.31,1717.53,sprinkler
rice,summer,red,4.48,5042.6,surface
wheat,rabi,clayey,4.19,4326.23,surface
citrus,rabi,red,3.95,2086.29,drip
mango,kharif,red,1.19,519.92,drip
maize,rabi,red,0.96,859.2,sprinkler
citrus,rabi,red,3.97,1852.36,drip
maize,kharif,loamy,0.51,364.23,surface
sugarcane,summer,loamy,1.14,1693.22,drip
wheat,kharif,sandy,1.12,1131.88,sprinkler
tomato,rabi,clayey,2.75,1397.42,sprinkler
mango,rabi,black,3.68,1386.62,drip
mango,summer,sandy,4.47,2032.74,drip
cotton,summer,loamy,4.28,4383.55,surface
onion,summer,sandy,3.01,1466.12,sprinkler
groundnut,kharif,clayey,4.35,3374.77,drip
groundnut,kharif,red,3.02,2535.02,surface
sugarcane,rabi,loamy,4.7,8447.14,surface
sugarcane,rabi,red,1.38,2141.36,surface
groundnut,rabi,clayey,2.76,1555.64,drip
maize,summer,clayey,3.39,2601.67,sprinkler
maize,summer,sandy,4.87,4399.87,surface
onion,rabi,loamy,2.63,1512.22,sprinkler
mango,kharif,clayey,0.63,291.74,drip
cotton,kharif,sandy,2.39,2720.59,drip
wheat,summer,sandy,1.91,1965.09,sprinkler
maize,summer,red,3.82,2851.45,sprinkler
groundnut,summer,clayey,2.82,2321.85,drip
tomato,summer,sandy,0.79,535.63,sprinkler
mango,summer,clayey,0.88,344.03,drip
maize,summer,red,2.34,1973.31,sprinkler
wheat,rabi,red,2.08,1753.28,sprinkler
citrus,summer,black,0.9,472.72,drip
